timestamp,Q
2024-09-25,1345.62
2024-09-26,1399.04
2024-09-27,1568.84
2024-09-28,1853.13
2024-09-29,2280.42
2024-09-30,2323.76
2024-10-01,2320.68
2024-10-02,2299.66
2024-10-03,2273.38
2024-10-04,2198.76
2024-10-05,2240.08
2024-10-06,2438.98
2024-10-07,2452.63
2024-10-08,2375.97
2024-10-09,2333.39
2024-10-10,2554.54
2024-10-11,3066.60
2024-10-12,3814.88
2024-10-13,3807.66
2024-10-14,3491.39
2024-10-15,3235.66
2024-10-16,3063.43
2024-10-17,2992.76
2024-10-18,2902.77
2024-10-19,2773.36
2024-10-20,2655.56
2024-10-21,2700.05
2024-10-22,2638.44
2024-10-23,2436.04
2024-10-24,2293.70
2024-10-25,2184.17
2024-10-26,2083.07
2024-10-27,2024.55
2024-10-28,1967.31
2024-10-29,1921.17
2024-10-30,1847.69
2024-10-31,1746.85
2024-11-01,1682.94
2024-11-02,1625.31
2024-11-03,1589.84
2024-11-04,1570.12
2024-11-05,1539.52
2024-11-06,1500.24
2024-11-07,1458.27
2024-11-08,1425.01
2024-11-09,1403.43
2024-11-10,1383.77
2024-11-11,1370.24
2024-11-12,1351.82
2024-11-13,1335.60
2024-11-14,1317.22
2024-11-15,1316.58
2024-11-16,1318.44
2024-11-17,1310.04
2024-11-18,1317.01
2024-11-19,1352.61
2024-11-20,1579.98
2024-11-21,2046.97
2024-11-22,2683.23
2024-11-23,2978.10
2024-11-24,2911.63
2024-11-25,2628.37
2024-11-26,2403.25
2024-11-27,2281.81
2024-11-28,2221.72
2024-11-29,2315.37
2024-11-30,2432.73
2024-12-01,2469.03
2024-12-02,2495.44
2024-12-03,2463.48
2024-12-04,2321.77
2024-12-05,2204.65
2024-12-06,2240.68
2024-12-07,2391.38
2024-12-08,2653.72
2024-12-09,2878.93
2024-12-10,3138.67
2024-12-11,3231.24
2024-12-12,3082.47
2024-12-13,2847.09
2024-12-14,2623.61
2024-12-15,2466.31
2024-12-16,2351.67
2024-12-17,2244.86
2024-12-18,2149.68
2024-12-19,2055.34
2024-12-20,2084.11
2024-12-21,2163.70
2024-12-22,2351.74
2024-12-23,2547.37
2024-12-24,2840.57
2024-12-25,3315.24
2024-12-26,3685.06
2024-12-27,3611.16
2024-12-28,3338.45
2024-12-29,3028.62
2024-12-30,2759.70
2024-12-31,2543.29
2025-01-01,2355.90
2025-01-02,2244.59
2025-01-03,2212.67
2025-01-04,2281.84
2025-01-05,2503.67
2025-01-06,2820.15
2025-01-07,3511.91
2025-01-08,4376.07
2025-01-09,4719.44
2025-01-10,4864.04
2025-01-11,5488.94
2025-01-12,6074.47
2025-01-13,6052.05
2025-01-14,5450.22
2025-01-15,4739.95
2025-01-16,4081.92
2025-01-17,3590.34
2025-01-18,3269.03
2025-01-19,3007.11
2025-01-20,2831.49
2025-01-21,2671.63
2025-01-22,2540.28
2025-01-23,2449.65
2025-01-24,2439.80
2025-01-25,2549.61
2025-01-26,2785.52
2025-01-27,2980.42
2025-01-28,3214.52
2025-01-29,3416.46
2025-01-30,3545.48
2025-01-31,3741.12
2025-02-01,3925.05
2025-02-02,3848.32
2025-02-03,3564.50
2025-02-04,3284.07
2025-02-05,2985.50
2025-02-06,2752.95
2025-02-07,2578.61
2025-02-08,2449.64
2025-02-09,2344.18
2025-02-10,2250.11
2025-02-11,2178.55
2025-02-12,2077.32
2025-02-13,2130.44
2025-02-14,2203.65
2025-02-15,2345.54
2025-02-16,2638.74
2025-02-17,2796.99
2025-02-18,2666.70
2025-02-19,2472.08
2025-02-20,2309.02
2025-02-21,2191.47
2025-02-22,2101.14
2025-02-23,2007.59
2025-02-24,1950.23
2025-02-25,1912.93
2025-02-26,1873.08
2025-02-27,1863.17
2025-02-28,1939.19
2025-03-01,2053.04
2025-03-02,2148.81
2025-03-03,2147.91
2025-03-04,2060.55
2025-03-05,1973.35
2025-03-06,1875.83
2025-03-07,1794.87
2025-03-08,1749.24
2025-03-09,1695.79
2025-03-10,1644.11
2025-03-11,1605.48
2025-03-12,1573.75
2025-03-13,1546.50
2025-03-14,1535.32
2025-03-15,1524.42
2025-03-16,1577.93
2025-03-17,1662.53
2025-03-18,1658.36
2025-03-19,1591.92
2025-03-20,1512.67
2025-03-21,1454.26
2025-03-22,1405.80
2025-03-23,1376.56
2025-03-24,1363.62
2025-03-25,1358.69
2025-03-26,1335.87
2025-03-27,1308.32
2025-03-28,1324.03
2025-03-29,1322.69
2025-03-30,1305.14
2025-03-31,1262.56
2025-04-01,1236.63
2025-04-02,1214.44
2025-04-03,1194.69
2025-04-04,1200.08
2025-04-05,1190.01
2025-04-06,1158.13
2025-04-07,1134.95
2025-04-08,1111.67
2025-04-09,1097.05
2025-04-10,1091.24
2025-04-11,1080.88
2025-04-12,1062.08
2025-04-13,1050.16
2025-04-14,1052.54
2025-04-15,1052.34
2025-04-16,1045.29
2025-04-17,1058.45
2025-04-18,1083.90
2025-04-19,1139.19
2025-04-20,1185.12
2025-04-21,1289.39
2025-04-22,1345.35
2025-04-23,1313.24
2025-04-24,1356.16
2025-04-25,1529.23
2025-04-26,1585.09
2025-04-27,1550.64
2025-04-28,1515.34
2025-04-29,1482.17
2025-04-30,1432.10
2025-05-01,1367.61
2025-05-02,1293.32
2025-05-03,1234.52
2025-05-04,1193.50
2025-05-05,1187.54
2025-05-06,1199.63
2025-05-07,1249.11
2025-05-08,1271.96
2025-05-09,1320.78
2025-05-10,1419.53
2025-05-11,1450.19
2025-05-12,1414.13
2025-05-13,1355.82
2025-05-14,1313.97
2025-05-15,1275.32
2025-05-16,1243.33
2025-05-17,1230.94
2025-05-18,1214.02
2025-05-19,1176.77
2025-05-20,1138.76
2025-05-21,1109.39
2025-05-22,1083.11
2025-05-23,1069.43
2025-05-24,1074.20
2025-05-25,1130.54
2025-05-26,1248.46
2025-05-27,1335.12
2025-05-28,1370.53
2025-05-29,1386.82
2025-05-30,1351.21
2025-05-31,1350.62
2025-06-01,1371.43
2025-06-02,1421.51
2025-06-03,1489.49
2025-06-04,1490.79
2025-06-05,1470.68
2025-06-06,1562.04
2025-06-07,1716.16
2025-06-08,1934.11
2025-06-09,1982.54
2025-06-10,1934.27
2025-06-11,1965.20
2025-06-12,2006.23
2025-06-13,1907.80
2025-06-14,1765.58
2025-06-15,1661.08
2025-06-16,1612.42
2025-06-17,1590.46
2025-06-18,1562.28
2025-06-19,1533.62
2025-06-20,1517.77
2025-06-21,1458.43
2025-06-22,1391.81
2025-06-23,1339.07
2025-06-24,1273.94
2025-06-25,1227.15
2025-06-26,1212.60
2025-06-27,1198.02
2025-06-28,1191.88
2025-06-29,1164.95
2025-06-30,1125.74
2025-07-01,1098.24
2025-07-02,1088.88
2025-07-03,1082.16
2025-07-04,1033.72
2025-07-05,1009.69
2025-07-06,1000.56
2025-07-07,1006.62
2025-07-08,1024.35
2025-07-09,1057.61
2025-07-10,1070.42
2025-07-11,1061.70
2025-07-12,1062.79
2025-07-13,1093.45
2025-07-14,1115.50
2025-07-15,1109.76
2025-07-16,1092.63
2025-07-17,1097.31
2025-07-18,1086.55
2025-07-19,1085.22
2025-07-20,1099.14
2025-07-21,1098.95
2025-07-22,1101.25
2025-07-23,1117.03
2025-07-24,1156.17
2025-07-25,1218.52
2025-07-26,1316.94
2025-07-27,1317.63
2025-07-28,1295.99
2025-07-29,1333.97
2025-07-30,1478.87
2025-07-31,1671.78
2025-08-01,1910.16
2025-08-02,2139.86
2025-08-03,2218.35
2025-08-04,2199.07
2025-08-05,2154.84
2025-08-06,2192.97
2025-08-07,2223.28
2025-08-08,2095.07
2025-08-09,1943.96
2025-08-10,1831.96
2025-08-11,1716.89
2025-08-12,1619.89
2025-08-13,1527.80
2025-08-14,1447.61
2025-08-15,1355.86
2025-08-16,1284.84
2025-08-17,1230.97
2025-08-18,1179.27
2025-08-19,1147.04
2025-08-20,1116.57
2025-08-21,1092.56
2025-08-22,1067.06
2025-08-23,1046.80
2025-08-24,1033.98
2025-08-25,1147.93
2025-08-26,1411.25
2025-08-27,1500.33
2025-08-28,1447.81
2025-08-29,1382.69
2025-08-30,1356.60
2025-08-31,1375.94
2025-09-01,1526.85
2025-09-02,1690.82
2025-09-03,1693.72
2025-09-04,1625.39
2025-09-05,1558.29
2025-09-06,1544.47
2025-09-07,1534.23
2025-09-08,1540.04
2025-09-09,1779.41
2025-09-10,1966.07
2025-09-11,1999.06
2025-09-12,1952.09
2025-09-13,1854.13
2025-09-14,1751.13
2025-09-15,1710.12
2025-09-16,1669.40
2025-09-17,1637.72
2025-09-18,1605.50
2025-09-19,1560.36
2025-09-20,1497.86
2025-09-21,1413.52
2025-09-22,1340.84
2025-09-23,1303.84
2025-09-24,1316.83
2025-09-25,1457.48
2025-09-26,2092.04
2025-09-27,2679.43
2025-09-28,2623.61
2025-09-29,2402.73
2025-09-30,2240.08
2025-10-01,2114.47
2025-10-02,1992.40
2025-10-03,1859.83
2025-10-04,1773.09
2025-10-05,1727.73
2025-10-06,1642.24
2025-10-07,1608.71
2025-10-08,1582.12
2025-10-09,1554.63
2025-10-10,1542.23
2025-10-11,1513.61
2025-10-12,1473.18
2025-10-13,1415.71
2025-10-14,1366.02
2025-10-15,1327.35
2025-10-16,1287.18
2025-10-17,1256.31
2025-10-18,1214.76
2025-10-19,1185.58
2025-10-20,1173.52
2025-10-21,1170.35
2025-10-22,1167.65
2025-10-23,1202.39
2025-10-24,1267.34
2025-10-25,1354.31
2025-10-26,1780.61
2025-10-27,2288.65
2025-10-28,2416.61
2025-10-29,2467.91
2025-10-30,2693.37
2025-10-31,2946.20
2025-11-01,3054.85
2025-11-02,2937.37
2025-11-03,2740.68
2025-11-04,2619.73
2025-11-05,2624.18
2025-11-06,2669.14
2025-11-07,2629.90
2025-11-08,2506.39
2025-11-09,2322.77
2025-11-10,2191.64
2025-11-11,2051.85
2025-11-12,1932.75
2025-11-13,1822.22
2025-11-14,1730.72
2025-11-15,1661.42
2025-11-16,1587.37
2025-11-17,1540.46
2025-11-18,1485.57
2025-11-19,1441.94
2025-11-20,1434.80
2025-11-21,1466.08
2025-11-22,1480.74
2025-11-23,1475.56
